student_first_name,student_middle_name,student_last_name,date_of_birth,class,date_joined,primary_guardian_first_name,primary_guardian_middle_name,primary_guardian_last_name,primary_guardian_phone,primary_guardian_email,primary_guardian_address,secondary_guardian_first_name,secondary_guardian_middle_name,secondary_guardian_last_name,secondary_guardian_phone,secondary_guardian_email,secondary_guardian_address
Jessica,Jessica,Scott,2014-05-11,Primary 3,2018-12-14,Kelli,Seth,Rios,479.733.6159x467,cruzkelly@yahoo.com,"948 Laura Stream, Lake Scottstad, IN 46964",Steven,Elizabeth,Lawson,575.425.6955,kathyrollins@bennett.com,"PSC 0902, Box 0691, APO AA 64190"
Joy,Robert,Jimenez,2018-07-27,Primary 3,2023-02-13,Russell,Alicia,Floyd,4969091976,yharris@hotmail.com,"1855 Heather Manors, West Stephanie, MO 47194",Justin,Michelle,Griffin,2505066188,wsilva@yahoo.com,"8585 Herrera Point, Bellmouth, SC 87308"
Jessica,Brian,Jones,2016-12-15,Primary 4,2022-07-02,Andrew,Amy,Merritt,(670)759-7892,ddickerson@bruce.com,"5764 Davies Meadows Suite 987, East Chaseside, RI 07329",Amanda,Christopher,Gonzales,459-471-2699,berrybetty@gmail.com,"PSC 4623, Box 2752, APO AP 18626"
Michele,Alisha,Hines,2019-05-14,Primary 6,2023-10-04,Michael,David,Hill,7101935819,luis42@gmail.com,"9322 Michael Forest, North Melissamouth, AZ 21737",Justin,Cynthia,Watkins,+1-214-519-4179x0418,gregorywebster@hotmail.com,"5464 Catherine Islands Suite 138, South Alexis, SC 14111"
Kurt,Tracy,Harrington,2016-03-25,Primary 3,2023-05-10,Bethany,Brianna,Roth,001-520-241-4179x183,alison27@hotmail.com,"00777 Ashley Loop Apt. 017, Sarahland, AZ 62978",Angela,Jonathan,Mclean,001-067-701-1876x31687,kelly31@gmail.com,"440 Sharon Mills, Lake Jeffrey, LA 81120"
Amy,Craig,Sexton,2018-11-16,Primary 3,2022-12-28,Kimberly,Kerri,Brown,513-873-5839x35598,lori73@crawford.net,"33771 Benjamin Wells Suite 199, Martinezmouth, NH 22410",Tyler,Lisa,Jones,001-893-509-7417x503,fwalsh@valenzuela.biz,"4380 Vasquez Common Apt. 756, Joshuaton, AR 51676"
Matthew,Nancy,Adkins,2013-11-13,KG 1,2022-07-23,Linda,Nicole,Meza,691-680-7380x67768,sarah22@rodriguez-hess.com,"69650 James Mount, Karlshire, MS 39532",Monica,Mary,Spencer,(361)668-3002x9218,williamsteele@fry.com,"54410 Colin Spring, Newmanmouth, SD 06076"
Connor,Gabriel,Harris,2012-10-26,Primary 5,2019-10-16,Misty,Sara,Christensen,811-273-8183x268,jennifer82@yahoo.com,"0820 Green Stravenue Apt. 864, East Rachel, HI 73097",Eric,Lynn,Warren,+1-297-845-8363x351,brittneynelson@hotmail.com,"8633 Martha Mews Apt. 999, Kingmouth, KY 30648"
Adam,Barry,Burch,2018-05-04,Primary 1,2023-11-01,Carol,Johnathan,Daniel,6259596571,xturner@scott.net,"8742 Marissa Mission Apt. 280, Robertfurt, KS 89802",Michael,Vicki,Macias,001-108-482-0298x09208,jessewilliamson@gmail.com,"60978 Clark Lodge Apt. 524, Patrickton, VA 70903"
Samantha,Carolyn,Wagner,2014-12-12,KG 1,2024-07-02,Jay,Christopher,Mccann,079.116.9115x34343,ularson@farley.org,"44709 Bradley Port Apt. 454, Jamesmouth, ME 85136",Joseph,Scott,Harrison,(727)755-6833x532,patriciahayes@hotmail.com,"40599 Moore Fall Apt. 089, Port Anna, SD 52986"
